archivo,run,norm,metric,qe,dba,diffusion,mAP,num_queries
r2_qe10_comparison.csv,r2_qe10,none,cosine,10,0,0,0.5545,55
paris_vlad_base_comparison.csv,paris_vlad_base,none,cosine,0,0,0,0.5514,55
vlad_k256_pca512_comparison.csv,vlad_k256_pca512,l2,cosine,0,0,0,0.5398,110
vlad_qual_comparison.csv,vlad_qual,none,cosine,0,0,0,0.5282,55
r2_base_comparison.csv,r2_base,none,cosine,0,0,0,0.5282,55
vlad_k128_pca512_comparison.csv,vlad_k128_pca512,none,cosine,0,0,0,0.4944,55
vlad_k256_aqe10_comparison.csv,vlad_k256_aqe10,none,cosine,10,0,0,0.494,55
vlad_k128_pca256_comparison.csv,vlad_k128_pca256,none,cosine,0,0,0,0.4891,55
vlad_k128_pca128_comparison.csv,vlad_k128_pca128,none,cosine,0,0,0,0.4724,55
vlad_k256_qe10_comparison.csv,vlad_k256_qe10,none,cosine,10,0,0,0.4712,55
vlad_k256_qe20_comparison.csv,vlad_k256_qe20,none,cosine,20,0,0,0.4699,55
vlad_k256_qe5_comparison.csv,vlad_k256_qe5,none,cosine,5,0,0,0.4695,55
vlad_k256_qe50_comparison.csv,vlad_k256_qe50,none,cosine,50,0,0,0.4683,55
vlad_k256_comparison.csv,vlad_k256,none,cosine,0,0,0,0.4676,55
paris_vlad_k256_comparison.csv,paris_vlad_k256,none,cosine,0,0,0,0.4669,55
r2_noq_comparison.csv,r2_noq,none,cosine,0,0,0,0.4609,55
r3_k128w5_comparison.csv,r3_k128w5,none,cosine,0,0,0,0.4369,55
paris_vlad_k128_comparison.csv,paris_vlad_k128,none,cosine,0,0,0,0.4362,55
vlad_best_comparison.csv,vlad_best,none,cosine,10,0,0,0.4352,55
vlad_k128_qe10_comparison.csv,vlad_k128_qe10,none,cosine,10,0,0,0.4352,55
vlad_k128_qe20_comparison.csv,vlad_k128_qe20,none,cosine,20,0,0,0.4338,55
vlad_k128_qe5_comparison.csv,vlad_k128_qe5,none,cosine,5,0,0,0.4336,55
vlad_k128_comparison.csv,vlad_k128,none,cosine,0,0,0,0.4296,55
